region,gender,year,sat_total,sat_very_satisfied,sat_very_dissatisfied,sat_neutral,sat_somewhat_satisfied,sat_somewhat_dissatisfied,satisfaction_score,satisfaction_positive_rate,satisfaction_negative_rate,suicide_rate
강원특별자치도,계,2020,100.0,13.9,2.5,42.3,31.9,9.4,3.4529999999999994,45.8,11.9,33.2
강원특별자치도,계,2021,100.0,12.2,4.0,43.6,25.3,15.0,3.27,37.5,19.0,32.7
강원특별자치도,계,2022,100.0,13.7,2.0,40.3,31.9,12.1,3.432,45.599999999999994,14.1,33.1
강원특별자치도,계,2023,100.0,14.1,1.8,40.3,33.0,10.7,3.466,47.1,12.5,34.7
강원특별자치도,계,2024,100.0,12.1,1.7,47.7,30.1,8.5,3.4270000000000005,42.2,10.2,34.3
강원특별자치도,남자,2020,100.0,13.8,2.5,42.2,33.1,8.4,3.4730000000000003,46.900000000000006,10.9,45.6
강원특별자치도,남자,2021,100.0,13.6,4.1,43.8,23.4,15.0,3.2709999999999995,37.0,19.1,45.4
강원특별자치도,남자,2022,100.0,15.5,1.9,39.0,31.8,11.8,3.472,47.3,13.700000000000001,47.5
강원특별자치도,남자,2023,100.0,15.7,1.6,39.1,33.2,10.4,3.51,48.900000000000006,12.0,50.7
강원특별자치도,남자,2024,100.0,12.4,1.5,46.5,32.2,7.5,3.468,44.6,9.0,52.3
강원특별자치도,여자,2020,100.0,13.9,2.6,42.4,30.7,10.3,3.427,44.6,12.9,20.7
강원특별자치도,여자,2021,100.0,10.8,3.8,43.3,27.2,14.9,3.2629999999999995,38.0,18.7,19.9
강원특별자치도,여자,2022,100.0,11.9,2.1,41.5,32.0,12.5,3.391,43.9,14.6,18.5
강원특별자치도,여자,2023,100.0,12.5,2.0,41.5,32.9,11.1,3.4279999999999995,45.4,13.1,18.6
강원특별자치도,여자,2024,100.0,11.8,1.9,48.8,28.0,9.5,3.3829999999999996,39.8,11.4,16.2
경기도,계,2020,100.0,15.2,2.6,43.3,29.1,9.8,3.445,44.3,12.4,23.7
경기도,계,2021,100.0,10.0,5.2,41.0,23.3,20.5,3.1239999999999997,33.3,25.7,23.6
경기도,계,2022,100.0,12.4,2.7,42.9,30.2,11.8,3.378,42.6,14.5,23.1
경기도,계,2023,100.0,11.8,3.3,43.1,29.5,12.3,3.3420000000000005,41.3,15.600000000000001,25.1
경기도,계,2024,100.0,10.3,2.3,51.4,25.4,10.7,3.31,35.7,13.0,28.2
경기도,남자,2020,100.0,15.8,2.7,42.6,29.1,9.8,3.455,44.900000000000006,12.5,32.3
경기도,남자,2021,100.0,10.4,5.5,41.1,22.7,20.4,3.1240000000000006,33.1,25.9,31.3
경기도,남자,2022,100.0,11.6,2.7,43.1,30.9,11.6,3.3680000000000003,42.5,14.3,31.4
경기도,남자,2023,100.0,12.2,3.7,43.1,29.2,11.7,3.342,41.4,15.399999999999999,35.1
